Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42,55725,56790,57624,56614,55343,59265,59832,61305,58046,59559,58960,57625,59242,69865,67938,67206,69243,67437,66689,66627,66545,68239,68376,71213,69230,70270,68572,69605,69224,70308,70037,74015,74002,76938,74233,76877,82122,85528,80727,110236,104442,98206,93096,90647,88312,89709,87857,87245,86401,87633,87321,87463,88095,87809,88108,87351,86938,86020,82993,79497,77211,76142,77385,73757,69205,63584,58001,55404,52461,51878,51140
43,53987,56009,56849,57493,56517,55320,59209,59793,61247,58170,59473,58802,57563,59288,69819,67994,67301,69310,67220,66586,66547,66458,68058,68050,70834,68858,70427,68174,69209,68803,69929,69659,73519,73891,76189,73480,76158,81907,85110,80273,109795,104214,98040,92888,90297,87998,89067,87318,86906,86258,87514,87221,87120,87622,87281,87552,86723,86454,85666,82759,79597,77223,76257,77198,73629,69001,63822,58379,55776,52966,52432
44,53600,54209,56002,56638,57409,56430,55352,59099,59725,61325,58042,59550,58722,57629,59129,69756,68024,67337,69037,67010,66441,66454,66290,67750,67661,70535,69049,69884,67729,68861,68375,69514,69144,73433,73193,75503,72759,75871,81410,84622,80057,109347,103989,97611,92571,89776,87476,88490,86860,86635,86015,87207,86798,86599,87079,86683,86789,86066,85916,85438,82635,79594,77142,76123,76934,73378,68950,64064,58612,56173,53524
45,53169,53788,54111,55736,56476,57343,56350,55203,58999,59813,61159,58113,59451,58729,57499,59013,69646,67969,67028,68869,66874,66277,66266,65907,67317,67246,70373,68543,69481,67277,68356,67937,68952,68948,72605,72468,74753,72390,75462,80832,84235,79634,109009,103587,97266,92013,89061,86859,88155,86534,86334,85719,86667,86144,86060,86360,85983,86200,85582,85523,85228,82417,79365,76941,75791,76531,73152,69088,64290,58875,56550
46,51485,53324,53661,53859,55472,56310,57188,56217,55049,59119,59677,61115,58017,59322,58537,57352,58900,69538,67641,66775,68592,66583,65965,65889,65479,66900,67038,69579,67891,68823,66645,67615,67232,68866,68146,71761,71850,74312,71925,74924,80511,83787,79366,108550,102999,96688,91351,88433,86360,87772,86067,86021,85151,86155,85484,85415,85711,85320,85605,85104,85272,84911,82024,78958,76499,75154,76293,73105,69159,64412,59199
47,51446,51567,53197,53357,53654,55287,56161,57046,56048,55107,58887,59704,60935,57908,59117,58351,57185,58745,69180,67333,66463,68313,66280,65558,65437,64980,66557,66363,69034,67357,68265,66136,66992,67022,68065,67333,71027,71351,73795,71414,74593,80066,83402,78929,107958,102284,95878,90648,87952,85954,87314,85678,85382,84559,85558,84672,84634,84953,84748,85116,84713,84906,84461,81523,78440,75855,74829,76176,73035,69240,64654
48,48934,51453,51436,52946,53076,53499,55083,56060,56868,56052,54864,58890,59520,60768,57575,58889,58198,56983,58391,68839,66938,66123,67935,65810,65045,64944,64524,65941,65791,68457,66831,67719,65518,66824,66257,67348,66600,70467,70746,73191,71062,74129,79748,82948,78452,107112,101475,95035,90095,87502,85538,86809,85092,84762,83995,84754,83932,84033,84272,84190,84621,84225,84466,83963,80926,77777,75386,74573,75940,73009,69362
49,46277,48909,51272,51129,52719,52871,53285,54852,55779,56809,55748,54895,58640,59281,60442,57233,58604,57896,56601,58036,68429,66526,65681,67403,65324,64513,64521,63956,65331,65224,67864,66292,67024,65333,66071,65559,66594,66070,69890,70167,72868,70703,73786,79320,82389,77904,106279,100683,94404,89641,87093,85029,86195,84360,84005,83165,83951,83162,83430,83636,83747,84105,83628,83860,83332,80211,77201,75119,74422,75824,73139
50,45907,46312,48733,50947,50878,52524,52722,53083,54705,55733,56570,55788,54662,58382,58931,60192,56945,58332,57498,56247,57711,67981,66003,65161,66796,64747,64095,63928,63339,64782,64718,67290,65522,66792,64517,65309,64871,65971,65546,69276,69783,72366,70328,73316,78754,81868,77317,105421,100050,94031,89165,86736,84463,85662,83774,83400,82443,83280,82603,82984,83285,83327,83754,83283,83318,82756,79797,77045,74970,74459,75953
51,45149,45823,46128,48385,50648,50563,52215,52424,52822,54637,55379,56491,55472,54376,57957,58573,59754,56593,57864,57046,55823,57293,67418,65372,64524,66128,64225,63485,63330,62703,64175,64099,66580,65056,66082,63842,64541,64353,65335,64880,68665,69151,71757,69762,72698,78098,81067,76478,104636,99404,93378,88602,86018,83797,84870,83003,82559,81683,82607,81908,82413,82750,82731,83152,82619,82595,82230,79381,76875,74806,74500
52,44484,45009,45526,45748,48031,50297,50297,51873,52070,52648,54297,55157,56043,55078,53971,57590,58132,59319,56109,57341,56644,55300,56779,66738,64670,63893,65608,63490,62792,62657,62085,63541,63379,66111,64273,65221,63145,63930,63665,64592,64334,68079,68701,71180,69195,72055,77355,80241,75952,104023,98763,92872,87974,85243,83111,84042,82271,81712,81044,82064,81388,81830,82204,82174,82391,81837,82006,81775,79176,76629,74790
53,43938,44288,44732,45175,45400,47685,49964,49965,51489,51822,52222,54025,54706,55636,54546,53568,57064,57602,58734,55558,56780,56089,54711,56147,65978,63909,63315,64825,62729,62064,61969,61447,62787,62777,65278,63487,64452,62433,63272,62899,63973,63681,67535,68044,70561,68523,71379,76535,79639,75470,103217,98115,92097,87221,84493,82367,83399,81573,81097,80456,81423,80908,81392,81680,81485,81609,81208,81584,81487,78963,76493
54,41884,43640,43888,44244,44740,45000,47292,49562,49509,51212,51341,51913,53530,54203,55100,53999,52996,56511,56997,58123,54909,56138,55392,54029,55445,65203,63170,62470,64059,61970,61317,61319,60740,62178,61924,64380,62677,63706,61769,62582,62387,63373,63069,66924,67434,69798,67829,70583,75935,79059,74943,102468,97307,91425,86454,83785,81638,82684,80956,80511,79915,80887,80381,80767,81040,80723,81157,80813,81273,81165,78789
55,40289,41565,43302,43375,43827,44238,44624,46864,49116,49142,50677,51022,51408,52999,53533,54514,53387,52409,55791,56347,57392,54207,55416,54716,53273,54739,64238,62318,61620,63211,61150,60500,60527,59982,61240,61079,63475,61958,62896,61036,61749,61718,62865,62491,66306,66781,69144,67105,69975,75348,78476,74284,101684,96476,90617,85663,83006,80906,82004,80381,80051,79414,80479,79730,80087,80362,80168,80791,80484,80971,80975
56,40192,39963,41148,42764,42815,43371,43880,44126,46368,48662,48572,50260,50381,50838,52285,52838,53813,52723,51730,55007,55545,56642,53461,54565,53885,52510,53916,63238,61458,60727,62357,60294,59654,59763,59098,60293,60212,62584,61170,61989,60283,61078,61026,62213,61792,65472,65948,68308,66494,69357,74725,77842,73594,100772,95665,89778,84900,82162,80218,81362,79796,79372,78889,79868,79153,79481,79722,79711,80371,80161,80711
57,36382,39819,39489,40613,42219,42279,42833,43332,43629,45882,48036,48080,49603,49643,50094,51581,52056,53034,51953,50971,54210,54674,55774,52547,53665,53036,51679,53089,62227,60514,59798,61482,59348,58701,58844,58188,59366,59386,61725,60369,61207,59518,60420,60270,61462,61006,64669,65081,67598,65987,68731,74036,77091,72923,99839,94753,88974,84130,81369,79588,80730,79210,78814,78281,79189,78523,78952,79242,79287,80105,79895
