Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
55,36422,37504,39391,40036,39971,40639,41144,43482,44941,45152,46404,47092,47691,48463,49488,50107,49410,48992,51965,52449,53164,50246,51378,51082,49705,50959,60157,59387,58410,60050,59042,57568,57224,56563,58474,57815,59847,58362,59179,56972,57681,57463,58278,58144,61183,61925,63282,61112,63691,68692,72255,68642,94628,90698,85096,81274,79295,77819,79711,78668,78456,79071,79478,79905,80125,81221,80333,81432,80931,80994,81312
56,35744,35839,36849,38703,39297,39290,39967,40483,42737,44272,44432,45819,46302,46857,47549,48617,49200,48490,48016,51010,51434,52089,49259,50271,50055,48708,49802,58957,58218,57338,58952,57908,56531,56218,55482,57387,56744,58838,57360,58113,56059,56788,56640,57412,57287,60161,61067,62343,60281,62972,67866,71384,67798,93538,89655,84110,80363,78383,77072,78927,77896,77694,78396,78871,79219,79395,80467,79737,80941,80360,80611
57,32107,35156,35160,36214,37909,38591,38534,39223,39785,41968,43513,43754,44969,45403,45871,46615,47611,48259,47526,46941,49940,50332,50948,48086,49130,48971,47531,48697,57679,56945,56165,57732,56749,55315,55023,54322,56291,55688,57732,56358,57127,55073,55855,55785,56493,56384,59250,60040,61414,59496,62131,67004,70468,66852,92389,88582,83086,79416,77492,76225,78135,77102,77049,77674,78082,78487,78675,79756,79160,80341,79854
58,31748,31533,34456,34460,35427,37085,37735,37727,38462,38952,41086,42511,42853,44033,44389,44847,45578,46499,47145,46542,45834,48785,49180,49727,46956,47978,47747,46370,47535,56314,55651,54861,56339,55349,54032,53778,53081,55125,54636,56621,55175,56059,54071,54855,54725,55453,55476,58210,59094,60528,58618,61251,66016,69510,65998,91230,87470,82006,78450,76569,75461,77230,76312,76256,76874,77258,77734,77941,79140,78608,79796
59,29286,31018,30793,33599,33658,34594,36250,36874,36869,37659,38095,40205,41569,41760,42932,43351,43758,44461,45406,45984,45402,44702,47558,47851,48374,45672,46554,46458,45155,46359,54900,54355,53527,54837,54041,52730,52557,51848,53944,53426,55233,54068,54929,53082,53752,53607,54317,54370,57100,58167,59552,57709,60235,65072,68491,65029,89947,86270,80992,77410,75657,74592,76437,75390,75425,76004,76438,76936,77141,78372,78034
60,27682,28623,30274,30048,32681,32795,33790,35334,35967,35992,36688,37365,39135,40428,40640,41841,42152,42542,43225,44101,44670,44098,43436,46197,46471,46970,44474,45201,45134,43869,45093,53494,52892,52103,53426,52633,51434,51192,50610,52630,52094,54007,52863,53661,51927,52659,52512,53235,53413,56006,57136,58504,56725,59270,64021,67362,64082,88577,85031,79907,76397,74758,73705,75534,74471,74533,75113,75646,76148,76414,77697
61,26745,26929,27842,29358,29229,31744,31884,32819,34342,34979,34968,35504,36336,38000,39159,39419,40617,40954,41282,41921,42702,43193,42717,42035,44723,45034,45404,43085,43743,43735,42544,43742,51974,51292,50597,51891,51145,50035,49779,49237,51203,50818,52680,51648,52363,50661,51452,51243,52066,52418,54915,55988,57483,55638,58203,62916,66260,63026,87141,83739,78721,75393,73786,72758,74519,73473,73589,74150,74679,75267,75609
62,25319,25947,26098,27017,28473,28279,30796,30865,31774,33341,33881,33910,34397,35180,36761,37795,38129,39286,39603,39921,40459,41198,41653,41207,40635,43287,43553,43870,41632,42276,42326,41233,42313,50192,49747,49139,50294,49573,48672,48378,47799,49786,49455,51333,50245,51009,49381,50159,50011,50889,51268,53780,54889,56361,54531,57081,61742,65089,61945,85777,82417,77504,74316,72673,71617,73485,72337,72561,73169,73634,74372
63,24176,24418,25093,25217,26084,27440,27333,29742,29842,30777,32214,32819,32784,33137,33908,35468,36431,36699,37783,38157,38458,38882,39737,39983,39618,39154,41539,41908,42336,40166,40761,40813,39827,40810,48445,48098,47454,48704,47999,47148,46771,46280,48339,48061,49809,48850,49622,47975,48878,48754,49697,50140,52569,53566,55166,53409,55896,60557,63848,60826,84363,81006,76258,73067,71496,70506,72359,71157,71543,72157,72677
64,22301,23238,23516,24143,24207,25092,26402,26230,28651,28745,29638,30962,31481,31503,31755,32565,34044,34947,35250,36262,36560,36810,37248,38044,38308,37999,37452,39760,40281,40586,38596,39182,39211,38312,39317,46579,46394,45732,47046,46326,45446,45246,44757,46816,46469,48222,47351,48110,46609,47536,47417,48428,48910,51199,52325,53949,52220,54663,59347,62593,59620,82834,79495,74946,71788,70298,69298,71225,69998,70448,71087
65,20724,21304,22220,22516,23075,23168,24098,25215,25102,27459,27554,28532,29672,30099,30122,30403,31112,32597,33381,33665,34682,34887,35171,35557,36372,36712,36119,35804,38071,38580,38857,36978,37492,37533,36704,37786,44718,44619,43989,45268,44579,43865,43711,43250,45213,44981,46647,45823,46538,45218,46124,46091,47084,47598,49913,51051,52563,51042,53443,57970,61255,58371,81213,77920,73476,70474,68990,68001,70022,68713,69294
66,18665,19758,20296,21181,21465,22054,22105,22956,24109,23962,26204,26473,27220,28269,28670,28670,28955,29631,31034,31704,32018,32968,33196,33425,33852,34574,35098,34341,34119,36291,36833,37094,35263,35847,35874,34985,36119,42873,42836,42250,43320,42811,42109,42060,41589,43593,43284,44877,44242,44931,43661,44667,44648,45651,46168,48547,49771,51160,49770,52126,56585,59859,57050,79405,76170,71942,68958,67556,66573,68558,67406
67,17980,17702,18729,19230,20084,20344,20830,20951,21810,22872,22793,25072,25155,25807,26712,27198,27164,27527,28104,29415,29954,30323,31264,31364,31682,32024,32806,33263,32575,32391,34446,35072,35338,33602,34101,34171,33349,34416,40860,40978,40395,41380,40976,40275,40209,39927,41836,41427,43165,42651,43336,42082,43117,43164,44162,44732,47124,48423,49721,48516,50777,55159,58332,55650,77627,74370,70356,67403,66093,65138,67121
68,15950,16938,16599,17676,18142,18952,19186,19626,19760,20626,21603,21569,23739,23712,24343,25250,25640,25611,25998,26448,27656,28232,28532,29333,29546,29880,30213,30921,31503,30762,30655,32591,33228,33434,31800,32288,32372,31689,32683,38940,38910,38415,39424,39087,38298,38474,38135,39878,39711,41319,40898,41586,40481,41398,41593,42702,43289,45708,46942,48294,47116,49452,53714,56772,54160,75728,72597,68632,65841,64535,63631
69,14812,14865,15792,15507,16612,17072,17757,18016,18402,18623,19429,20372,20336,22279,22225,22877,23624,24068,23981,24413,24739,25833,26451,26522,27553,27736,28024,28294,28974,29546,29025,28884,30634,31352,31530,29996,30523,30610,30000,30851,36715,36861,36430,37429,37077,36510,36594,36154,37997,37927,39497,39111,39768,38797,39734,40028,41132,41769,44150,45460,46824,45685,47996,52112,55174,52614,73606,70693,66935,64142,62930
70,13424,13779,13752,14642,14421,15428,15846,16480,16834,17222,17357,18172,19041,18992,20659,20765,21338,21990,22417,22384,22649,23018,24028,24535,24767,25721,25934,26121,26453,27059,27596,27178,27084,28738,29336,29604,28167,28631,28812,28212,28970,34626,34770,34408,35332,35121,34558,34628,34232,36128,36017,37586,37184,37943,37154,38087,38446,39596,40222,42619,43908,45277,44237,46482,50433,53466,51025,71494,68741,65074,62423
71,11693,12285,12737,12722,13427,13338,14261,14586,15303,15632,16000,16227,16868,17664,17564,19185,19226,19736,20400,20702,20675,20801,21310,22112,22691,22955,23739,23980,24234,24578,25167,25680,25304,25239,26780,27433,27620,26314,26745,26959,26305,27187,32460,32642,32280,33362,33025,32491,32607,32337,34100,34085,35662,35170,36082,35386,36398,36762,38034,38718,41000,42278,43620,42672,44909,48761,51637,49388,69288,66590,63083
72,10579,10631,11213,11720,11604,12290,12290,13060,13397,14045,14362,14795,14902,15517,16202,16154,17583,17609,18076,18618,18969,18949,19005,19585,20308,20879,21098,21777,22134,22287,22722,23230,23775,23372,23412,24816,25422,25582,24466,24800,25026,24528,25376,30294,30372,30249,31193,30828,30460,30620,30404,32061,32148,33666,33289,34127,33685,34708,35046,36380,36997,39280,40588,41871,41034,43307,46889,49683,47566,66839,64446
